NEIGHBORHOOD,total_crimes_UNIT,under_18_UNIT,over_18_UNIT,facility_count_UNIT,Total_Length_With_Steps_UNIT,Total_Steps_UNIT,Length_per_Step_UNIT,Zero_Steps_Total_Length_UNIT,park_count_UNIT,non_park_count_UNIT,tree_count_UNIT,TOTAL_STUDENTS_UNIT
GREENFIELD,2621.0052943819446,132.27503354824768,2488.730260833697,19.59630126640706,22418.16864876968,7892.410335045444,13.915685070620533,0.0,9.79815063320353,4.899075316601765,3649.811110868315,2385.84967918506
HAZELWOOD,1393.0,101.0,1292.0,14.0,4942.0,1374.0,3.596797671033479,0.0,5.0,1.0,652.0,575.0
HIGHLAND PARK,1804.2291751550085,94.27503798107251,1709.954137173936,97.52590135973018,3523.9359024649175,1014.2693741411939,11.294666354054224,0.0,6.501726757315346,0.0,9560.789196632217,1339.3557120069613
HOMEWOOD NORTH,17074.76770600622,993.1242441248517,16081.64346188137,8.711616176533786,11865.221232439017,4965.621220624258,20.816177600770203,0.0,8.711616176533786,8.711616176533786,3510.781319143116,5131.1419279784
KNOXVILLE,16699.703347564042,765.926243760456,15933.777103803586,50.22467172199712,9279.008100638968,1971.3183650883868,59.10196242445202,0.0,0.0,0.0,5424.264545975689,7734.599445187557
LARIMER,7418.219797253844,297.4085829368666,7120.811214316977,8.497388083910474,1402.0690338452282,790.2570918036741,15.076011116615359,0.0,8.497388083910474,16.994776167820948,2600.200753676605,2175.3313494810814
LINCOLN PLACE,875.4733221590225,80.99092407638534,794.4823980826371,19.283553351520318,3309.0577551208867,1002.7447742790565,12.727145212003409,0.0,7.713421340608128,0.0,1014.3149062899688,937.1806928838874
LINCOLN-LEMINGTON-BELMAR,2840.655160343347,93.99226633489016,2746.6628940084565,22.97588732630648,2537.7911910420344,1175.947687700959,4.507622008955655,0.0,4.177434059328451,2.0887170296642257,1096.5764405737184,1061.0682510694267
LOWER LAWRENCEVILLE,2375.32872954895,167.15276244974092,2208.175967099209,61.58259669200981,3237.485083237087,1759.5027626288518,16.187425416185437,0.0,26.392541439432776,0.0,4469.137017077283,738.9911603041178
MANCHESTER,6352.398030593552,433.42587842002916,5918.972152173523,40.63367610187773,189.62382180876276,108.35646960500729,23.702977726095344,0.0,40.63367610187773,0.0,9576.003001342518,1489.9014570688503
MARSHALL-SHADELAND,4551.630878111345,624.3787884486735,3927.252089662671,9.048967948531502,16215.75056376845,4141.410997777917,11.810451976524726,0.0,12.065290598042,0.0,1471.9654529611241,1408.6226773214037
MIDDLE HILL,11461.868451510898,496.1847814506882,10965.683670060209,12.404619536267205,18904.640173271222,6165.095909524801,38.03750537881533,0.0,12.404619536267205,0.0,4229.975261867117,2828.253254268923
MORNINGSIDE,1859.9548509070066,49.46688433263316,1810.4879665743736,98.93376866526631,7291.418750630127,3294.494496553368,21.89615240429468,0.0,9.893376866526632,0.0,4560.846735468777,1770.914459108267
